run_timestamp,algorithm,trace_count,trace_length,type_count,dimensions,support,rep,time_s,queries_found
2026-06-28T12:08:38.856358,D-U-S,2000,10,5,2,1.0,1,0.641575,2
2026-06-28T12:08:38.856358,D-U-S,2000,10,5,2,1.0,2,0.47468,2
2026-06-28T12:08:38.856358,D-U-S,2000,10,5,2,1.0,3,0.431105,2
2026-06-28T12:08:38.856358,D-U-S-D,2000,10,5,2,1.0,1,1.103539,2
2026-06-28T12:08:38.856358,D-U-S-D,2000,10,5,2,1.0,2,0.425108,2
2026-06-28T12:08:38.856358,D-U-S-D,2000,10,5,2,1.0,3,0.450901,2
2026-06-28T12:08:38.856358,D-U-S,4000,10,5,2,1.0,1,1.39653,2
2026-06-28T12:08:38.856358,D-U-S,4000,10,5,2,1.0,2,1.181439,2
2026-06-28T12:08:38.856358,D-U-S,4000,10,5,2,1.0,3,1.122129,2
2026-06-28T12:08:38.856358,D-U-S-D,4000,10,5,2,1.0,1,1.015067,2
2026-06-28T12:08:38.856358,D-U-S-D,4000,10,5,2,1.0,2,0.974601,2
2026-06-28T12:08:38.856358,D-U-S-D,4000,10,5,2,1.0,3,0.913039,2
2026-06-28T12:08:38.856358,D-U-S,6000,10,5,2,1.0,1,2.986779,2
2026-06-28T12:08:38.856358,D-U-S,6000,10,5,2,1.0,2,2.676691,2
2026-06-28T12:08:38.856358,D-U-S,6000,10,5,2,1.0,3,2.641197,2
2026-06-28T12:08:38.856358,D-U-S-D,6000,10,5,2,1.0,1,2.238584,2
2026-06-28T12:08:38.856358,D-U-S-D,6000,10,5,2,1.0,2,2.356269,2
2026-06-28T12:08:38.856358,D-U-S-D,6000,10,5,2,1.0,3,2.231313,2
2026-06-28T12:08:38.856358,D-U-S,8000,10,5,2,1.0,1,4.91591,2
2026-06-28T12:08:38.856358,D-U-S,8000,10,5,2,1.0,2,4.855878,2
2026-06-28T12:08:38.856358,D-U-S,8000,10,5,2,1.0,3,4.493468,2
2026-06-28T12:08:38.856358,D-U-S-D,8000,10,5,2,1.0,1,3.910395,2
2026-06-28T12:08:38.856358,D-U-S-D,8000,10,5,2,1.0,2,4.154836,2
2026-06-28T12:08:38.856358,D-U-S-D,8000,10,5,2,1.0,3,3.856773,2
2026-06-28T12:08:38.856358,D-U-S,10000,10,5,2,1.0,1,7.161952,2
2026-06-28T12:08:38.856358,D-U-S,10000,10,5,2,1.0,2,6.967495,2
2026-06-28T12:08:38.856358,D-U-S,10000,10,5,2,1.0,3,6.626935,2
2026-06-28T12:08:38.856358,D-U-S-D,10000,10,5,2,1.0,1,5.4522,2
2026-06-28T12:08:38.856358,D-U-S-D,10000,10,5,2,1.0,2,5.498393,2
2026-06-28T12:08:38.856358,D-U-S-D,10000,10,5,2,1.0,3,5.400204,2
2026-06-28T12:08:38.856358,D-U-S,12000,10,5,2,1.0,1,11.294613,2
2026-06-28T12:08:38.856358,D-U-S,12000,10,5,2,1.0,2,9.734438,2
2026-06-28T12:08:38.856358,D-U-S,12000,10,5,2,1.0,3,10.269228,2
2026-06-28T12:08:38.856358,D-U-S-D,12000,10,5,2,1.0,1,8.126693,2
2026-06-28T12:08:38.856358,D-U-S-D,12000,10,5,2,1.0,2,7.791414,2
2026-06-28T12:08:38.856358,D-U-S-D,12000,10,5,2,1.0,3,8.180948,2
2026-06-28T12:08:38.856358,D-U-S,14000,10,5,2,1.0,1,12.956801,2
2026-06-28T12:08:38.856358,D-U-S,14000,10,5,2,1.0,2,12.267131,2
2026-06-28T12:08:38.856358,D-U-S,14000,10,5,2,1.0,3,12.821284,2
2026-06-28T12:08:38.856358,D-U-S-D,14000,10,5,2,1.0,1,10.338379,2
2026-06-28T12:08:38.856358,D-U-S-D,14000,10,5,2,1.0,2,13.073329,2
2026-06-28T12:08:38.856358,D-U-S-D,14000,10,5,2,1.0,3,15.632294,2
2026-06-28T12:08:38.856358,D-U-S,16000,10,5,2,1.0,1,23.772425,2
2026-06-28T12:08:38.856358,D-U-S,16000,10,5,2,1.0,2,20.390597,2
2026-06-28T12:08:38.856358,D-U-S,16000,10,5,2,1.0,3,18.533687,2
2026-06-28T12:08:38.856358,D-U-S-D,16000,10,5,2,1.0,1,16.218662,2
2026-06-28T12:08:38.856358,D-U-S-D,16000,10,5,2,1.0,2,20.855371,2
2026-06-28T12:08:38.856358,D-U-S-D,16000,10,5,2,1.0,3,17.927694,2
2026-06-28T12:08:38.856358,D-U-S,18000,10,5,2,1.0,1,28.832961,2
2026-06-28T12:08:38.856358,D-U-S,18000,10,5,2,1.0,2,22.913662,2
2026-06-28T12:08:38.856358,D-U-S,18000,10,5,2,1.0,3,23.733522,2
2026-06-28T12:08:38.856358,D-U-S-D,18000,10,5,2,1.0,1,19.579769,2
2026-06-28T12:08:38.856358,D-U-S-D,18000,10,5,2,1.0,2,19.968612,2
2026-06-28T12:08:38.856358,D-U-S-D,18000,10,5,2,1.0,3,19.028979,2
2026-06-28T12:08:38.856358,D-U-S,20000,10,5,2,1.0,1,30.204745,2
2026-06-28T12:08:38.856358,D-U-S,20000,10,5,2,1.0,2,29.123884,2
2026-06-28T12:08:38.856358,D-U-S,20000,10,5,2,1.0,3,28.228081,2
2026-06-28T12:08:38.856358,D-U-S-D,20000,10,5,2,1.0,1,25.723225,2
2026-06-28T12:08:38.856358,D-U-S-D,20000,10,5,2,1.0,2,27.861701,2
2026-06-28T12:08:38.856358,D-U-S-D,20000,10,5,2,1.0,3,27.907995,2
2026-06-28T12:08:38.856358,D-U-S,22000,10,5,2,1.0,1,45.837409,2
2026-06-28T12:08:38.856358,D-U-S,22000,10,5,2,1.0,2,37.650545,2
2026-06-28T12:08:38.856358,D-U-S,22000,10,5,2,1.0,3,40.958593,2
2026-06-28T12:08:38.856358,D-U-S-D,22000,10,5,2,1.0,1,32.753031,2
2026-06-28T12:08:38.856358,D-U-S-D,22000,10,5,2,1.0,2,33.750385,2
2026-06-28T12:08:38.856358,D-U-S-D,22000,10,5,2,1.0,3,33.349925,2
2026-06-28T12:08:38.856358,D-U-S,24000,10,5,2,1.0,1,46.861881,2
2026-06-28T12:08:38.856358,D-U-S,24000,10,5,2,1.0,2,40.435012,2
2026-06-28T12:08:38.856358,D-U-S,24000,10,5,2,1.0,3,41.680654,2
2026-06-28T12:08:38.856358,D-U-S-D,24000,10,5,2,1.0,1,35.903282,2
2026-06-28T12:08:38.856358,D-U-S-D,24000,10,5,2,1.0,2,38.014667,2
2026-06-28T12:08:38.856358,D-U-S-D,24000,10,5,2,1.0,3,36.768232,2
2026-06-28T12:08:38.856358,D-U-S,26000,10,5,2,1.0,1,49.779507,2
2026-06-28T12:08:38.856358,D-U-S,26000,10,5,2,1.0,2,48.996199,2
2026-06-28T12:08:38.856358,D-U-S,26000,10,5,2,1.0,3,47.221874,2
2026-06-28T12:08:38.856358,D-U-S-D,26000,10,5,2,1.0,1,42.383597,2
2026-06-28T12:08:38.856358,D-U-S-D,26000,10,5,2,1.0,2,42.104625,2
2026-06-28T12:08:38.856358,D-U-S-D,26000,10,5,2,1.0,3,41.87661,2
2026-06-28T12:08:38.856358,D-U-S,28000,10,5,2,1.0,1,54.876964,2
2026-06-28T12:08:38.856358,D-U-S,28000,10,5,2,1.0,2,56.09395,2
2026-06-28T12:08:38.856358,D-U-S,28000,10,5,2,1.0,3,56.067764,2
2026-06-28T12:08:38.856358,D-U-S-D,28000,10,5,2,1.0,1,47.719419,2
2026-06-28T12:08:38.856358,D-U-S-D,28000,10,5,2,1.0,2,49.415721,2
2026-06-28T12:08:38.856358,D-U-S-D,28000,10,5,2,1.0,3,45.586802,2
2026-06-28T12:08:38.856358,D-U-S,30000,10,5,2,1.0,1,66.63846,2
2026-06-28T12:08:38.856358,D-U-S,30000,10,5,2,1.0,2,64.945888,2
2026-06-28T12:08:38.856358,D-U-S,30000,10,5,2,1.0,3,71.961713,2
2026-06-28T12:08:38.856358,D-U-S-D,30000,10,5,2,1.0,1,55.722268,2
2026-06-28T12:08:38.856358,D-U-S-D,30000,10,5,2,1.0,2,55.728126,2
2026-06-28T12:08:38.856358,D-U-S-D,30000,10,5,2,1.0,3,54.281185,2
2026-06-28T12:08:38.856358,D-U-S,32000,10,5,2,1.0,1,65.303018,2
2026-06-28T12:08:38.856358,D-U-S,32000,10,5,2,1.0,2,62.950225,2
2026-06-28T12:08:38.856358,D-U-S,32000,10,5,2,1.0,3,62.796512,2
2026-06-28T12:08:38.856358,D-U-S-D,32000,10,5,2,1.0,1,53.964059,2
2026-06-28T12:08:38.856358,D-U-S-D,32000,10,5,2,1.0,2,53.646786,2
2026-06-28T12:08:38.856358,D-U-S-D,32000,10,5,2,1.0,3,54.218774,2
2026-06-28T12:08:38.856358,D-U-S,34000,10,5,2,1.0,1,83.322042,2
2026-06-28T12:08:38.856358,D-U-S,34000,10,5,2,1.0,2,83.598343,2
2026-06-28T12:08:38.856358,D-U-S,34000,10,5,2,1.0,3,91.926655,2
2026-06-28T12:08:38.856358,D-U-S-D,34000,10,5,2,1.0,1,72.244135,2
2026-06-28T12:08:38.856358,D-U-S-D,34000,10,5,2,1.0,2,72.05728,2
2026-06-28T12:08:38.856358,D-U-S-D,34000,10,5,2,1.0,3,69.82341,2
2026-06-28T12:08:38.856358,D-U-S,36000,10,5,2,1.0,1,88.751996,2
2026-06-28T12:08:38.856358,D-U-S,36000,10,5,2,1.0,2,86.556158,2
2026-06-28T12:08:38.856358,D-U-S,36000,10,5,2,1.0,3,86.754524,2
2026-06-28T12:08:38.856358,D-U-S-D,36000,10,5,2,1.0,1,75.883351,2
2026-06-28T12:08:38.856358,D-U-S-D,36000,10,5,2,1.0,2,76.241892,2
2026-06-28T12:08:38.856358,D-U-S-D,36000,10,5,2,1.0,3,78.136697,2
2026-06-28T12:08:38.856358,D-U-S,38000,10,5,2,1.0,1,99.40882,2
2026-06-28T12:08:38.856358,D-U-S,38000,10,5,2,1.0,2,98.872168,2
2026-06-28T12:08:38.856358,D-U-S,38000,10,5,2,1.0,3,103.008328,2
2026-06-28T12:08:38.856358,D-U-S-D,38000,10,5,2,1.0,1,86.975299,2
2026-06-28T12:08:38.856358,D-U-S-D,38000,10,5,2,1.0,2,84.681712,2
2026-06-28T12:08:38.856358,D-U-S-D,38000,10,5,2,1.0,3,85.773448,2
2026-06-28T12:08:38.856358,D-U-S,40000,10,5,2,1.0,1,118.044869,2
2026-06-28T12:08:38.856358,D-U-S,40000,10,5,2,1.0,2,112.995561,2
2026-06-28T12:08:38.856358,D-U-S,40000,10,5,2,1.0,3,117.962532,2
2026-06-28T12:08:38.856358,D-U-S-D,40000,10,5,2,1.0,1,99.487927,2
2026-06-28T12:08:38.856358,D-U-S-D,40000,10,5,2,1.0,2,103.959754,2
2026-06-28T12:08:38.856358,D-U-S-D,40000,10,5,2,1.0,3,101.446126,2
2026-06-28T12:08:38.856358,D-U-S,42000,10,5,2,1.0,1,128.816997,2
2026-06-28T12:08:38.856358,D-U-S,42000,10,5,2,1.0,2,125.776225,2
2026-06-28T12:08:38.856358,D-U-S,42000,10,5,2,1.0,3,125.420204,2
2026-06-28T12:08:38.856358,D-U-S-D,42000,10,5,2,1.0,1,124.142167,2
2026-06-28T12:08:38.856358,D-U-S-D,42000,10,5,2,1.0,2,111.611429,2
2026-06-28T12:08:38.856358,D-U-S-D,42000,10,5,2,1.0,3,108.20577,2
2026-06-28T12:08:38.856358,D-U-S,44000,10,5,2,1.0,1,139.600757,2
2026-06-28T12:08:38.856358,D-U-S,44000,10,5,2,1.0,2,137.367944,2
2026-06-28T12:08:38.856358,D-U-S,44000,10,5,2,1.0,3,137.629463,2
2026-06-28T12:08:38.856358,D-U-S-D,44000,10,5,2,1.0,1,116.605637,2
2026-06-28T12:08:38.856358,D-U-S-D,44000,10,5,2,1.0,2,124.99874,2
2026-06-28T12:08:38.856358,D-U-S-D,44000,10,5,2,1.0,3,116.29872,2
2026-06-28T12:08:38.856358,D-U-S,46000,10,5,2,1.0,1,152.828314,2
2026-06-28T12:08:38.856358,D-U-S,46000,10,5,2,1.0,2,176.838748,2
2026-06-28T12:08:38.856358,D-U-S,46000,10,5,2,1.0,3,151.484432,2
2026-06-28T12:08:38.856358,D-U-S-D,46000,10,5,2,1.0,1,139.188176,2
2026-06-28T12:08:38.856358,D-U-S-D,46000,10,5,2,1.0,2,134.802917,2
2026-06-28T12:08:38.856358,D-U-S-D,46000,10,5,2,1.0,3,137.700815,2
2026-06-28T12:08:38.856358,D-U-S,48000,10,5,2,1.0,1,171.569126,2
2026-06-28T12:08:38.856358,D-U-S,48000,10,5,2,1.0,2,169.456822,2
2026-06-28T12:08:38.856358,D-U-S,48000,10,5,2,1.0,3,167.081567,2
2026-06-28T12:08:38.856358,D-U-S-D,48000,10,5,2,1.0,1,145.68936,2
2026-06-28T12:08:38.856358,D-U-S-D,48000,10,5,2,1.0,2,141.549412,2
2026-06-28T12:08:38.856358,D-U-S-D,48000,10,5,2,1.0,3,139.003415,2
2026-06-28T12:08:38.856358,D-U-S,50000,10,5,2,1.0,1,179.743862,2
2026-06-28T12:08:38.856358,D-U-S,50000,10,5,2,1.0,2,177.151592,2
2026-06-28T12:08:38.856358,D-U-S,50000,10,5,2,1.0,3,176.766027,2
2026-06-28T12:08:38.856358,D-U-S-D,50000,10,5,2,1.0,1,150.069741,2
2026-06-28T12:08:38.856358,D-U-S-D,50000,10,5,2,1.0,2,151.686616,2
2026-06-28T12:08:38.856358,D-U-S-D,50000,10,5,2,1.0,3,151.682407,2
